sku,product_name,type,features,series,application,connection,thread,gender,material,color,sizes_raw,diameter_mm,diameter2_mm,diameter3_mm,angle_deg,inch,length_mm,wall_mm,sdr,sn_class,leftover,image_file,image_count,page_url
60703260,אום ישר לתבריג 32,אום,ישר,,,הברגה,,,,,32,32,,,,,,,,,ל,60703260.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-%D7%99%D7%A9%D7%A8-%D7%9C%D7%AA%D7%91%D7%A8%D7%99%D7%92-32/
60740060,אום ישר לתבריג 40,אום,ישר,,,הברגה,,,,,40,40,,,,,,,,,ל,60740060.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-%D7%99%D7%A9%D7%A8-%D7%9C%D7%AA%D7%91%D7%A8%D7%99%D7%92-40/
60705060,אום ישר לתבריג 50,אום,ישר,,,הברגה,,,,,50,50,,,,,,,,,ל,60705060.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-%D7%99%D7%A9%D7%A8-%D7%9C%D7%AA%D7%91%D7%A8%D7%99%D7%92-50/
60763063,אום ישר לתבריג 63,אום,ישר,,,הברגה,,,,,63,63,,,,,,,,,ל,60763063.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-%D7%99%D7%A9%D7%A8-%D7%9C%D7%AA%D7%91%D7%A8%D7%99%D7%92-63/
60760060,אום ישר לתבריג 69,אום,ישר,,,הברגה,,,,,69,69,,,,,,,,,ל,60760060.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-%D7%99%D7%A9%D7%A8-%D7%9C%D7%AA%D7%91%D7%A8%D7%99%D7%92-69/
70950160,אום לג'וקר 32 ™SmartLock,אום,,SmartLock,ג'וקר,,,,,,32,32,,,,,,,,,,70950160.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-%D7%9C%D7%92%D7%95%D7%A7%D7%A8-32-smartlock/
70860060,אום לג'וקר 40 ™SmartLock,אום,,SmartLock,ג'וקר,,,,,,40,40,,,,,,,,,,70860060.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-%D7%9C%D7%92%D7%95%D7%A7%D7%A8-40-smartlock/
70863063,אום לג'וקר 50 ™SmartLock,אום,,SmartLock,ג'וקר,,,,,,50,50,,,,,,,,,,70863063.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-%D7%9C%D7%92%D7%95%D7%A7%D7%A8-50-smartlock/
70703260,אום 32 ™SmartLock,אום,,SmartLock,,,,,,,32,32,,,,,,,,,,70703260.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-32-smartlock/
70704060,אום 40 ™SmartLock,אום,,SmartLock,,,,,,,40,40,,,,,,,,,,70704060.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-40-smartlock/
60850060,אום 50 כדורי למחסום,אום,כדורי,,מחסום,,,,,,50,50,,,,,,,,,,60850060.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-50-%D7%9B%D7%93%D7%95%D7%A8%D7%99-%D7%9C%D7%9E%D7%97%D7%A1%D7%95%D7%9D/
70705060,אום 50 ™SmartLock,אום,,SmartLock,,,,,,,50,50,,,,,,,,,,70705060.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-50-smartlock/
60860060,אום 63 כדורי למאסף,אום,כדורי,,מאסף,,,,,,63,63,,,,,,,,,,60860060.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-63-%D7%9B%D7%93%D7%95%D7%A8%D7%99-%D7%9C%D7%9E%D7%90%D7%A1%D7%A3/
70763063,אום 63 ™SmartLock,אום,,SmartLock,,,,,,,63,63,,,,,,,,,,70763063.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-63-smartlock/
60863063,אום 69 כדורי למאסף,אום,כדורי,,מאסף,,,,,,69,69,,,,,,,,,,60863063.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%95%D7%9D-69-%D7%9B%D7%93%D7%95%D7%A8%D7%99-%D7%9C%D7%9E%D7%90%D7%A1%D7%A3/
67760440,אטם כדורי 40,אטם,כדורי,,,,,,,,40,40,,,,,,,,,,67760440.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9B%D7%93%D7%95%D7%A8%D7%99-40-2/
67750440,אטם כדורי 40,אטם,כדורי,,,,,,,,40,40,,,,,,,,,,67750440.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9B%D7%93%D7%95%D7%A8%D7%99-40/
67760540,אטם כדורי 50,אטם,כדורי,,,,,,,,50,50,,,,,,,,,,67760540.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9B%D7%93%D7%95%D7%A8%D7%99-50/
67763063,אטם כדורי 63,אטם,כדורי,,,,,,,,63,63,,,,,,,,,,67763063.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9B%D7%93%D7%95%D7%A8%D7%99-63/
47640050,אטם לאביזרי תיקון 100,אטם,,,,,,,,,100,100,,,,,,,,,לאביזרי תיקון,47640050.jpg,3,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%90%D7%91%D7%99%D7%96%D7%A8%D7%99-%D7%AA%D7%99%D7%A7%D7%95%D7%9F-100/
61239160,"אטם לגוף סיפון  ""2 מצופה סיליקון",אטם,סיפון,,,,,,,,,,,,,"2""",,,,,לגוף מצופה סיליקון,61239160.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%92%D7%95%D7%A3-%D7%A1%D7%99%D7%A4%D7%95%D7%9F-2-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-%D7%A1%D7%99%D7%9C%D7%99%D7%A7%D7%95%D7%9F-2/
61451471,"אטם לגוף סיפון  ""2 מצופה סיליקון",אטם,סיפון,,,,,,,,,,,,,"2""",,,,,לגוף מצופה סיליקון,61451471.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%92%D7%95%D7%A3-%D7%A1%D7%99%D7%A4%D7%95%D7%9F-2-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-%D7%A1%D7%99%D7%9C%D7%99%D7%A7%D7%95%D7%9F-3/
61239160,"אטם לגוף סיפון  ""2 מצופה סיליקון",אטם,סיפון,,,,,,,,,,,,,"2""",,,,,לגוף מצופה סיליקון,61239160.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%92%D7%95%D7%A3-%D7%A1%D7%99%D7%A4%D7%95%D7%9F-2-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-%D7%A1%D7%99%D7%9C%D7%99%D7%A7%D7%95%D7%9F-4/
61451471,"אטם לגוף סיפון  ""2 מצופה סיליקון",אטם,סיפון,,,,,,,,,,,,,"2""",,,,,לגוף מצופה סיליקון,61451471.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%92%D7%95%D7%A3-%D7%A1%D7%99%D7%A4%D7%95%D7%9F-2-%D7%9E%D7%A6%D7%95%D7%A4%D7%94-%D7%A1%D7%99%D7%9C%D7%99%D7%A7%D7%95%D7%9F/
67760440,אטם לג'וקר מצרה 40-50 ™SmartLock,אטם,מצרה,SmartLock,ג'וקר,,,,,,40/50,40,50,,,,,,,,,67760440.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%92%D7%95%D7%A7%D7%A8-%D7%9E%D7%A6%D7%A8%D7%94-40-50-smartlock/
67750440,אטם לג'וקר 40 ™SmartLock,אטם,,SmartLock,ג'וקר,,,,,,40,40,,,,,,,,,,67750440.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%92%D7%95%D7%A7%D7%A8-40-smartlock/
67760540,אטם לג'וקר 50 ™SmartLock,אטם,,SmartLock,ג'וקר,,,,,,50,50,,,,,,,,,,67760540.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%92%D7%95%D7%A7%D7%A8-50-smartlock/
67763063,אטם לג'וקר 63 ™SmartLock,אטם,,SmartLock,ג'וקר,,,,,,63,63,,,,,,,,,,67763063.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%92%D7%95%D7%A7%D7%A8-63-smartlock/
67532040,אטם לחץ דו צדדי  32,אטם,,,,,,,,,32,32,,,,,,,,,לחץ דו צדדי,67532040.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%97%D7%A5-%D7%93%D7%95-%D7%A6%D7%93%D7%93%D7%99-32/
67540040,אטם לחץ דו צדדי  40,אטם,,,,,,,,,40,40,,,,,,,,,לחץ דו צדדי,67540040.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%97%D7%A5-%D7%93%D7%95-%D7%A6%D7%93%D7%93%D7%99-40/
67550040,אטם לחץ דו צדדי 50,אטם,,,,,,,,,50,50,,,,,,,,,לחץ דו צדדי,67550040.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%97%D7%A5-%D7%93%D7%95-%D7%A6%D7%93%D7%93%D7%99-50/
67563063,אטם לחץ דו צדדי 63,אטם,,,,,,,,,63,63,,,,,,,,,לחץ דו צדדי,67563063.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%9C%D7%97%D7%A5-%D7%93%D7%95-%D7%A6%D7%93%D7%93%D7%99-63/
61451461,"אטם עגול 84 למכסה עגול מרובע, מאספים, מחסומים",אטם,עגול,,,,,,,,84,84,,,,,,,,,למכסה עגול מרובע מאספים מחסומים,61451461.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%A2%D7%92%D7%95%D7%9C-84-%D7%9C%D7%9E%D7%9B%D7%A1%D7%94-%D7%A2%D7%92%D7%95%D7%9C-%D7%9E%D7%A8%D7%95%D7%91%D7%A2-%D7%9E%D7%90%D7%A1%D7%A4%D7%99%D7%9D-%D7%9E%D7%97%D7%A1%D7%95-2/
61451461,"אטם עגול 84 למכסה עגול מרובע, מאספים, מחסומים",אטם,עגול,,,,,,,,84,84,,,,,,,,,למכסה עגול מרובע מאספים מחסומים,61451461.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%A2%D7%92%D7%95%D7%9C-84-%D7%9C%D7%9E%D7%9B%D7%A1%D7%94-%D7%A2%D7%92%D7%95%D7%9C-%D7%9E%D7%A8%D7%95%D7%91%D7%A2-%D7%9E%D7%90%D7%A1%D7%A4%D7%99%D7%9D-%D7%9E%D7%97%D7%A1%D7%95/
67750040,אטם פקק 69 למחסומים ומאספים,אטם,פקק,,,,,,,,69,69,,,,,,,,,למחסומים ומאספים,67750040.jpg,6,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%A4%D7%A7%D7%A7-69-%D7%9C%D7%9E%D7%97%D7%A1%D7%95%D7%9E%D7%99%D7%9D-%D7%95%D7%9E%D7%90%D7%A1%D7%A4%D7%99%D7%9D-2/
67750040,אטם פקק 69 למחסומים ומאספים,אטם,פקק,,,,,,,,69,69,,,,,,,,,למחסומים ומאספים,67750040.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%A4%D7%A7%D7%A7-69-%D7%9C%D7%9E%D7%97%D7%A1%D7%95%D7%9E%D7%99%D7%9D-%D7%95%D7%9E%D7%90%D7%A1%D7%A4%D7%99%D7%9D/
67640040,אטם קוני לתבריג 40,אטם,,,,הברגה,,,,,40,40,,,,,,,,,קוני ל,67640040.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%A7%D7%95%D7%A0%D7%99-%D7%9C%D7%AA%D7%91%D7%A8%D7%99%D7%92-40/
67660040,אטם קוני לתבריג 69,אטם,,,,הברגה,,,,,69,69,,,,,,,,,קוני ל,67660040.jpg,5,https://www.huliot.co.il/product/%D7%90%D7%98%D7%9D-%D7%A7%D7%95%D7%A0%D7%99-%D7%9C%D7%AA%D7%91%D7%A8%D7%99%D7%92-69/
